Key,GetIt citation,# links: common,# links: Ariadne only,# links: GetIt only,# links: Ariadne total,# links: GetIt total,# links: All Total,% total: Ariadne,% total: GetIt,ARIADNE: BACKEND_API_FETCH_ERROR_FAILED_TO_FETCH,ARIADNE: HTTP_400_BAD_REQUEST,GETIT: PAGE_NOT_FOUND,GETIT: PROBABLE_HTTP_400_BAD_REQUEST,GETIT: SORRY_SOMETHING_HAS_GONE_WRONG
"getit.library.nyu.edu/resolve??charset=utf-8&atitle=The impact of advertising on social processes&jtitle=Mind & Society=&title=Mind & Society=&issn=1860-1839(ELECTRONIC),15937879(PRINT)&date=2021&aulast=Pavlovskaya&aufirst=Olga&au=Pavlovskaya,Olga&genre=article","Article | The impact of advertising on social processes | Pavlovskaya,Olga 2021 | Published in Journal Mind  | ISSN:0026-4423",2,1,3,3,5,8,38,63,0,0,0,0,0
getit.library.nyu.edu/resolve??ctx_ver=Z39.88-2004&ctx_enc=info:ofi/enc:UTF-8&url_ver=Z39.88-2004&rfr_id=info:sid/Elsevier:SD&svc_val_fmt=info:ofi/fmt:kev:mtx:sch_svc&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft.aulast=JANCZAK&rft.auinit=D&rft.date=2018&rft.issn=00256196&rft.volume=93&rft.issue=1&rft.spage=40&rft.epage=47&rft.title=Mayo Clinic Proceedings&rft.atitle=Rivaroxaban and Apixaban for Initial Treatment of Acute Venous Thromboembolism of Atypical Location&rft_id=info:doi/10.1016/j.mayocp.2017.10.007,Article | Rivaroxaban and Apixaban for Initial Treatment of Acute Venous Thromboembolism of Atypical Location | JANCZAK 2018 | Published in Journal Mayo Clinic Proceedings Volume 93 Issue 1 Page 40 47. | ISSN:0025-6196,5,0,0,5,5,10,50,50,0,0,0,0,0
getit.library.nyu.edu/resolve??ctx_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:book&rfr_id=info:sid/credoreference:credoreference&rft.genre=book&rft.btitle=Is This the Real Life?&rft.aulast=Blake&rft.aufirst=&rft.spage=167,"Book | Is This the Real Life? | Blake | Published in Book Page 167. | ",0,0,2,0,2,2,0,100,0,0,0,0,0
getit.library.nyu.edu/resolve??ctx_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:book&rfr_id=info:sid/credoreference:credoreference&rft.genre=book&rft.btitle=Remaking the American Mainstream: Assimilation and Contemporary Immigration&rft.date=2003&rft.aulast=Alba&rft.aufirst=Richard D.,"Book | Remaking the American Mainstream Assimilation and Contemporary Immigration | Alba Richard D 2003 |  | ",0,0,4,0,4,4,0,100,0,0,0,0,0
getit.library.nyu.edu/resolve??ctx_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:book&rfr_id=info:sid/credoreference:credoreference&rft.genre=book&rft.btitle=The Ojibwa Dance Drum: Its History and Construction&rft.date=1982.&rft.aulast=Vennum&rft.aufirst=Thomas Jr.,"Book | The Ojibwa Dance Drum Its History and Construction | Vennum Thomas Jr 1982 |  | ",0,0,1,0,1,1,0,100,0,0,0,0,0
getit.library.nyu.edu/resolve??ctx_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:book&rfr_id=info:sid/credoreference:credoreference&rft.genre=book&rft.btitle=The creation of feminist consciousness: From the middle ages to eighteen-seventy&rft.date=1993&rft.aulast=Lerner&rft.aufirst=G.,"Book | The creation of feminist consciousness From the middle ages to eighteen-seventy | Lerner G 1993 |  | ",1,0,3,1,4,5,20,80,0,0,0,0,0
getit.library.nyu.edu/resolve??sid=&aulast=Aristotle&aufirst=&genre=book&title=Oxford World's Classics: Aristotle: Poetics&date=2013&isbn=9780199608362,Book | Poetics | Aristotle 2013 |  | Publisher:Oxford University Press ISBN:9780199608362,0,0,1,0,1,1,0,100,0,0,0,0,0
getit.library.nyu.edu/resolve??sid=&aulast=Shakespeare&aufirst=William&genre=book&title=The Oxford Shakespeare: Hamlet&date=1987&isbn=9780198129103,Book | Hamlet | Shakespeare William 1987 |  | Publisher:Clarendon Press Oxford University Press ISBN:9780198129103,0,0,1,0,1,1,0,100,0,0,0,0,0
"getit.library.nyu.edu/resolve??sid=muse&pid=MUSE&genre=book&isbn=9780253018960&title=If\u00e1 Divination, Knowledge, Power, and Performance&date=2016",Book | Ifa divination knowledge power and performance | Olupona 2016 |  | Publisher:Indiana University Press ISBN:9780253018960,0,0,7,0,7,7,0,100,0,0,0,0,0
"getit.library.nyu.edu/resolve??sid=muse&pid=MUSE&genre=book&isbn=9780520958500&title=Love, Money, and HIV&date=2014&aulast=Sanyu A. Mojola&aufirst=",Book | Love money and HIV becoming a modern African woman in the age of AIDS | Mojola Sanyu A 2014 |  | Publisher:University of California Press ISBN:9780520958500,0,0,8,0,8,8,0,100,0,0,0,0,0
getit.library.nyu.edu/resolve??sid=oup:obo&genre=book&aulast=Larmour&title=Rethinking sexuality: Foucault and classical antiquity&date=1998,"Book | Rethinking sexuality Foucault and classical antiquity | Larmour 1998 |  | ",0,0,4,0,4,4,0,100,0,0,0,0,0
getit.library.nyu.edu/resolve??sid=oup:obo&genre=book&aulast=Rivera&title=Reggaeton&date=2009,"Book | Reggaeton | Rivera 2009 |  | ",0,0,8,0,8,8,0,100,0,0,0,0,0
getit.library.nyu.edu/resolve??sid=oup:obo&genre=book&aulast=Struck&title=Birth of the symbol: Ancient readers at the limits of their texts&date=2004,"Book | Birth of the symbol Ancient readers at the limits of their texts | Struck 2004 |  | ",1,0,8,1,9,10,10,90,0,0,0,0,0
getit.library.nyu.edu/resolve??sid=oup:obo&genre=book&aulast=Taylor&title=Propaganda&date=2007,"Book | Propaganda | Taylor 2007 |  | ",0,0,5,0,5,5,0,100,0,0,0,0,0
getit.library.nyu.edu/resolve??sid=oup:orr&genre=article&atitle=The effectiveness of the direct supervision system of correctional design and management: A review of the literature&aulast=Wener&aufirst=R. E&title=Criminal Justice & Behavior=&date=2006&spage=367&volume=33,Article | The effectiveness of the direct supervision system of correctional design and management A review of the literature | Wener R E 2006 | Published in Journal Criminal Justice Volume 33 Page 367. | ISSN:1075-2080,3,0,1,3,4,7,43,57,0,0,0,0,0
getit.library.nyu.edu/resolve??sid=oup:orr&genre=book&aulast=Pennycook&aufirst=A.&title=Language and Mobility: Unexpected Places&date=2012,"Book | Language and Mobility Unexpected Places | Pennycook A 2012 |  | ",0,0,4,0,4,4,0,100,0,0,0,0,0
getit.library.nyu.edu/resolve??sid=oup:oxmed&genre=book&aulast=Shaw&aufirst=Ian&isbn=9780198845461&title=Ancient Egypt: A Very Short Introduction&date=2021-01-28,Book | Ancient Egypt a very short introduction | Shaw Ian 2021 Jan 28 |  | Publisher:Oxford University Press USA ISBN:9780198845461,0,0,1,0,1,1,0,100,0,0,0,0,0
"getit.library.nyu.edu/resolve?ID=doi:10.1016/j.jadohealth.2014.07.023&genre=article&atitle=Original article: Prevalence and Determinants of Adolescent Pregnancy in Urban Disadvantaged Settings Across Five Cities&title=Journal of Adolescent Health&issn=1054139X&isbn=&volume=55&issue=6&date=20141201&aulast=Brahmbhatt, Heena&spage=S48&pages=&sid=EBSCO:ScienceDirect:S1054139X14003322",Article | Original article Prevalence and Determinants of Adolescent Pregnancy in Urban Disadvantaged Settings Across Five Cities | Brahmbhatt Heena 2014 Dec 01 | Published in Journal Journal of Adolescent Health Volume 55 Issue 6 Page S48. | ISSN:1054-139X,0,1,1,1,1,2,50,50,0,0,0,0,0
getit.library.nyu.edu/resolve?atitle=Evaluation+of+baking+conditions+for+frozen+doughs.&sid=cabi:cabdirect&title=Journal+of+Food+Measurement+and+Characterization&issn=2193-4126&spage=3307&epage=3317&aulast=Varmola&auinit=E.&date=2019&volume=13&issue=4&id=doi:10.1007/s11694-019-00253-x,Article | Evaluation of baking conditions for frozen doughs. | Varmola 2019 | Published in Journal Journal of Food Measurement and Characterization Volume 13 Issue 4 Page 3307 3317. | ISSN:2193-4126,3,0,0,3,3,6,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?ctx_ver=Z39.88-2004&ctx_enc=info:ofi/enc:UTF-8&ctx_tim=2016-07-19T23:55:24IST&url_ver=Z39.88-2004&url_ctx_fmt=infofi/fmt:kev:mtx:ctx&rfr_id=info:sid/primo.exlibrisgroup.com:primo-dedupmrg27230747&rft_val_fmt=info:ofi/fmt:kev:mtx:book&rft.genre=book&rft.jtitle=&rft.btitle=Learning+Processing+a+beginner's+guide+to+programming+images,+animation,+and+interaction&rft.aulast=Shiffman&rft.aufirst=Daniel.&rft.auinit=&rft.auinit1=&rft.auinitm=&rft.ausuffix=&rft.au=Shiffman,+Daniel&rft.aucorp=&rft.volume=&rft.issue=&rft.part=&rft.quarter=&rft.ssn=&rft.spage=&rft.epage=&rft.pages=&rft.artnum=&rft.pub=Morgan+Kaufmann/Elsevier&rft.place=Amsterdam+;+Boston&rft.issn=&rft.eissn=&rft.isbn=9780123736024&rft.sici=&rft.coden=&rft_id=info:doi/&rft.object_id=&rft.primo=dedupmrg27230747&rft.eisbn=&rft_dat=<nyu_aleph>003290457</nyu_aleph><grp_id>22312689</grp_id><oa></oa>&rft_id=info:oai/&req.language=eng",Book | Learning Processing a beginner's guide to programming images animation and interaction | Shiffman Daniel 2009 |  | Publisher:Morgan Kaufmann/Elsevier ISBN:9780123736024,0,0,2,0,2,2,0,100,0,0,0,0,0
"getit.library.nyu.edu/resolve?ctx_ver=Z39.88-2004&ctx_enc=info:ofi/enc:UTF-8&ctx_tim=2018-01-19T14:15:24IST&url_ver=Z39.88-2004&url_ctx_fmt=infofi/fmt:kev:mtx:ctx&rfr_id=info:sid/primo.exlibrisgroup.com:primo-dedupmrg374692616&rft_val_fmt=info:ofi/fmt:kev:mtx:book&rft.genre=book&rft.jtitle=&rft.btitle=Interpretive research design : concepts and processes&rft.aulast=Schwartz-Shea&rft.aufirst=Peregrine,&rft.auinit=&rft.auinit1=&rft.auinitm=&rft.ausuffix=&rft.au=Schwartz-Shea, Peregrine, 1955-&rft.aucorp=&rft.volume=&rft.issue=&rft.part=&rft.quarter=&rft.ssn=&rft.spage=&rft.epage=&rft.pages=&rft.artnum=&rft.pub=Routledge&rft.place=New York&rft.issn=&rft.eissn=&rft.isbn=9781136993831&rft.sici=&rft.coden=&rft_id=info:doi/&rft.object_id=&rft.primo=dedupmrg374692616&rft.eisbn=&rft_dat=<nyu_aleph>004586164</nyu_aleph><grp_id>433395271</grp_id><oa></oa><url></url>&rft_id=info:oai/&req.language=eng",Book | Interpretive research design concepts and processes | Schwartz-Shea Peregrine 2013 |  | Publisher:Routledge ISBN:9781136993831,0,0,2,0,2,2,0,100,0,0,0,0,0
"getit.library.nyu.edu/resolve?ctx_ver=Z39.88-2004&ctx_enc=info:ofi/enc:UTF-8&ctx_tim=2018-01-19T15:28:53IST&url_ver=Z39.88-2004&url_ctx_fmt=infofi/fmt:kev:mtx:ctx&rfr_id=info:sid/primo.exlibrisgroup.com:primo-dedupmrg415011426&rft_val_fmt=info:ofi/fmt:kev:mtx:book&rft.genre=book&rft.jtitle=&rft.btitle=Racism in the United States : implications for the helping professions&rft.aulast=Miller&rft.aufirst=Joshua&rft.auinit=&rft.auinit1=&rft.auinitm=&rft.ausuffix=&rft.au=Miller, Joshua (Joshua L.), author&rft.aucorp=&rft.volume=&rft.issue=&rft.part=&rft.quarter=&rft.ssn=&rft.spage=&rft.epage=&rft.pages=&rft.artnum=&rft.pub=&rft.place=&rft.issn=&rft.eissn=9780826148841&rft.isbn=9780826148841&rft.sici=&rft.coden=&rft_id=info:doi/&rft.object_id=&rft.primo=dedupmrg415011426&rft.eisbn=&rft_dat=<nyu_aleph>005343580</nyu_aleph><grp_id>470076616</grp_id><oa></oa><url></url>&rft_id=info:oai/&req.language=eng",Book | Racism in the United States implications for the helping professions | Miller Joshua Joshua L author 2017 |  | Publisher:Springer Publishing Company ISBN:9780826148841,0,0,2,0,2,2,0,100,0,0,0,0,0
getit.library.nyu.edu/resolve?ctx_ver=Z39.88-2004&ctx_enc=info:ofi/enc:UTF-8&rfr_id=info:sid/ams.org:MathSciNet&rft_val_fmt=info:ofi/fmt:kev:mtx:book&rft_id=urn:ISBN:978-0-387-84898-3&rft.aufirst=Felipe&rft.auinit1=F&rft.aulast=Linares&rft.date=2009&rft.genre=book&rft.isbn=9780387848983&rft.stitle=Universitext.&rft.title=Introduction to nonlinear dispersive equations,Book | Introduction to nonlinear dispersive equations | Linares Felipe 2009 |  | Publisher:Springer ISBN:9780387848983,0,0,6,0,6,6,0,100,0,0,0,0,0
getit.library.nyu.edu/resolve?ctx_ver=Z39.88-2004&rft.genre=article&ctx_enc=info:ofi/enc:UTF-8&url_ver=Z39.88-2004&url_ctx_fmt=infofi/fmt:kev:mtx:ctx&rfr_id=info:sid/primo.exlibrisgroup.com:primo4-article-cLinker&rft_val_fmt=info:ofi/fmt:kev:mtx:article&isCitationLinker=Y&sfx.title_search=contains&rft.date=&rft_id=info:doi/10.1016/0006-291x(68)90706-7&rft.atitle=&rft.jtitle=&rft.volume=&rft.issue=&rft.spage=&rft.epage=&rft.issn=&rft.doi=10.1016/0006-291x(68)90706-7&rft.pmid=&rft.aulast=&rft.aufirst=&rft.auinit=&rft.publisher=&rft.pubdate=,Article | Photosensitized dimerization of pyrimidines | Greenstock C L 1968 | Published in Journal BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS Volume 30 Issue 1 Page 21 27. | ISSN:0006-291X,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?forcedownload=1&umlaut.referent_id=18782085&url_ver=Z39.88-2004&url_ctx_fmt=info:ofi/fmt:kev:mtx:ctx&ctx_ver=Z39.88-2004&ctx_tim=2022-01-09T13:40:59-05:00&ctx_id=&ctx_enc=info:ofi/enc:UTF-8&rft.atitle=The+From+Survivor+to+Thriver+program:+RCT+of+an+online+therapist-facilitated+program+for+rape-related+PTSD&rft.coden=JADIE8&rft.date=2016&rft.doi=10.1016/j.janxdis.2016.07.010&rft.eissn=1873-7897&rft.epage=51&rft.genre=article&rft.issn=08876185&rft.jtitle=Journal+of+anxiety+disorders&rft.language=fre&rft.lccn=++2004233010&rft.month=10&rft.object_id=954925553398&rft.place=UNITED+STATES&rft.pub=Pergamon&rft.spage=41&rft.stitle=J+ANXIETY+DISORDERS&rft.title=Journal+of+anxiety+disorders&rft.volume=43&rft.volume_start=43&rft.au=Littleton,+Heather&rft.aulast=Littleton&rft.aufirst=Heather&rft.auinit=H&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft_id=info:doi/10.1016/j.janxdis.2016.07.010&rfr_id=info:sid/google",Article | The From Survivor to Thriver program RCT of an online therapist-facilitated program for rape-related PTSD | Littleton Heather 2016 | Published in Journal Journal of anxiety disorders Volume 43 Page 41 51. | ISSN:0887-6185,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?forcedownload=1&umlaut.referent_id=18798757&url_ver=Z39.88-2004&url_ctx_fmt=info:ofi/fmt:kev:mtx:ctx&ctx_ver=Z39.88-2004&ctx_tim=2022-01-25T18:57:14-05:00&ctx_id=&ctx_enc=info:ofi/enc:UTF-8&rft.atitle=Standards+of+care+for+the+health+of+transsexual,+transgender,+and+gender-nonconforming+people,+version+7&rft.au=Coleman,+E&rft.auinit=E&rft.aulast=Coleman&rft.date=2012&rft.doi=10.1080/15532739.2011.700873&rft.eissn=1434-4599&rft.epage=232&rft.genre=article&rft.issn=1553-2739&rft.issue=4&rft.issue_start=4&rft.jtitle=International+journal+of+transgenderism&rft.language=fre&rft.lccn=+++00253291+&rft.month=08&rft.object_id=991042723500904&rft.place=Du\u0308sseldorf,+Germany&rft.pub=Symposion+Pub.&rft.spage=165&rft.stitle=INTERNATIONAL+JOURNAL+OF+TRANSGENDERISM&rft.title=International+journal+of+transgenderism&rft.volume=13&rft.volume_start=13&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft_id=info:doi/10.1080/15532739.2011.700873&rfr_id=info:sid/google",Article | Standards of care for the health of transsexual transgender and gender-nonconforming people version 7 | Coleman E 2012 | Published in Journal International journal of transgenderism Volume 13 Issue 4 Page 165 232. | ISSN:1553-2739,2,0,0,2,2,4,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?forcedownload=1&umlaut.referent_id=18814426&url_ver=Z39.88-2004&url_ctx_fmt=info:ofi/fmt:kev:mtx:ctx&ctx_ver=Z39.88-2004&ctx_tim=2022-02-06T15:59:19-05:00&ctx_id=&ctx_enc=info:ofi/enc:UTF-8&rft.atitle=From+gender+identity+disorder+to+gender+identity+creativity:+True+gender+self+child+therapy&rft.au=Ehrensaft,+Diane&rft.aufirst=Diane&rft.auinit=D&rft.aulast=Ehrensaft&rft.coden=JOHOD7&rft.date=2012&rft.doi=10.1080/00918369.2012.653303&rft.eissn=1540-3602&rft.epage=356&rft.genre=article&rft.issn=0091-8369&rft.issue=3&rft.issue_start=3&rft.jtitle=Journal+of+Homosexuality&rft.language=fre&rft.lccn=+++74078295+&rft.month=03&rft.object_id=954925463175&rft.oclcnum=1790856&rft.place=UNITED+STATES&rft.pub=Haworth+Press]&rft.spage=337&rft.stitle=J+HOMOSEX&rft.title=Journal+of+homosexuality&rft.volume=59&rft.volume_start=59&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft_id=info:doi/10.1080/00918369.2012.653303&rfr_id=info:sid/google",Article | From gender identity disorder to gender identity creativity True gender self child therapy | Ehrensaft Diane 2012 | Published in Journal Journal of homosexuality Volume 59 Issue 3 Page 337 356. | ISSN:0091-8369,2,1,0,3,2,5,60,40,0,0,0,0,0
"getit.library.nyu.edu/resolve?forcedownload=1&umlaut.referent_id=18887651&url_ver=Z39.88-2004&url_ctx_fmt=info:ofi/fmt:kev:mtx:ctx&ctx_ver=Z39.88-2004&ctx_tim=2022-03-20T13:46:04-04:00&ctx_id=&ctx_enc=info:ofi/enc:UTF-8&rft.atitle=Health-related+quality+of+life,+mental+health+and+psychotherapeutic+considerations+for+women+diagnosed+with+a+disorder+of+sexual+development:+congenital+adrenal+hyperplasia&rft.date=2010&rft.doi=10.1155/2010/253465&rft.eissn=1687-9856&rft.epage=11&rft.genre=article&rft.issn=16879848&rft.issue=1&rft.issue_start=1&rft.jtitle=International+Journal+of+Pediatric+Endocrinology&rft.language=fre&rft.lccn=++2009243825&rft.object_id=1000000000714452&rft.place=[Cairo]&rft.pub=BioMed+Central+Ltd&rft.spage=253465&rft.stitle=INT+J+PEDIATR+ENDOCRINOL&rft.title=International+Journal+of+Pediatric+Endocrinology&rft.volume=2010&rft.volume_start=2010&rft.au=Malouf,+Matthew+A&rft.aulast=Malouf&rft.aufirst=Matthew&rft.auinit=MA&rft.auinitm=A&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft_id=info:doi/10.1155/2010/253465&rfr_id=info:sid/google",Article | Health-related quality of life mental health and psychotherapeutic considerations for women diagnosed with a disorder of sexual development congenital adrenal hyperplasia | Malouf Matthew A 2010 | Published in Journal International Journal of Pediatric Endocrinology Volume 2010 Issue 1 Page 253465 11. | ISSN:1687-9848,4,1,1,5,5,10,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?forcedownload=1&umlaut.referent_id=18907602&url_ver=Z39.88-2004&url_ctx_fmt=info:ofi/fmt:kev:mtx:ctx&ctx_ver=Z39.88-2004&ctx_tim=2022-03-31T10:48:10-04:00&ctx_id=&ctx_enc=info:ofi/enc:UTF-8&rft.atitle=Childhood+sexuality:+a+decade+of+study.+Part+I\u2014research+and+curriculum+development1&rft.au=Ryan,+Gail&rft.aufirst=Gail&rft.auinit=G&rft.aulast=Ryan&rft.coden=CABND3&rft.date=2000&rft.doi=10.1016/S0145-2134(99)00118-0&rft.eissn=1873-7757&rft.epage=48&rft.genre=article&rft.issn=0145-2134&rft.issue=1&rft.issue_start=1&rft.jtitle=Child+abuse+&+neglect=&rft.language=fre&rft.lccn=++2002238896&rft.month=1&rft.object_id=954925473399&rft.oclcnum=3475531&rft.place=UNITED+STATES&rft.pub=Pergamon+Press&rft.spage=33&rft.stitle=CHILD+ABUSE+AND+NEGLECT&rft.title=Child+abuse+&+neglect=&rft.volume=24&rft.volume_start=24&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft_id=info:doi/10.1016/S0145-2134(99)00118-0&rfr_id=info:sid/google",Article | Childhood sexuality a decade of study Part I\u2014research and curriculum development1 | Ryan Gail 2000 | Published in Journal Child abuse Volume 24 Issue 1 Page 33 48. | ISSN:0145-2134,1,0,0,1,1,2,50,50,0,0,0,0,0
