Key,GetIt citation,# links: common,# links: Ariadne only,# links: GetIt only,# links: total,% total: Ariadne,% total: GetIt,ARIADNE: HTTP_400_BAD_REQUEST,GETIT: PAGE_NOT_FOUND,GETIT: PROBABLE_HTTP_400_BAD_REQUEST,GETIT: SORRY_SOMETHING_HAS_GONE_WRONG
getit.library.nyu.edu/resolve?=&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft.spage=19&rft.epage=36&rft.title=Thinking+with+Borges&rft.aulast=Gingerich&rft.date=2009&rft.artnum=1042&url_ctx_fmt=info:ofi/fmt:kev:mtx:ctx&rft.aufirst=Stephen&url_ver=Z39.88-2004&sid=bepress:DigitalCommons&rft.atitle=Nothing+and+everything+:+theoretical+and+practical+nihilism+in+Borges&rft.genre=article,"Article | Nothing and everything theoretical and practical nihilism in Borges | Gingerich Stephen 2009 | Published in Journal Thinking with Borges Page 19 36. | ",0,0,0,0,n/a,n/a,0,0,0,0
getit.library.nyu.edu/resolve??charset=utf-8&atitle=untitled,Article | untitled |  |  | undefined,0,0,0,0,n/a,n/a,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=1-17&atitle=Constellations of gender ideology, earnings arrangements, and marital satisfaction: a comparison across four East Asian societies&jtitle=null&title=null&issn=1744-1730&date=2021&aulast=Fan&aufirst=Wen&au=Fan,Wen&genre=article","Article | Constellations of gender ideology earnings arrangements and marital satisfaction a comparison across four East Asian societies | Fan,Wen 2021 | Published in Journal null Page 1 17. | ISSN:1744-1730",0,0,2,2,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=1167-1185&atitle=Addressing common barriers in adult immunizations: a review of interventions&jtitle=null&title=null&issn=1476-0584&volume=18&issue=11&date=2019&aulast=Bach&aufirst=Albert&au=Bach,Albert T.&genre=article","Article | Addressing common barriers in adult immunizations a review of interventions | Bach,Albert T 2019 | Published in Journal null Volume 18 Issue 11 Page 1167 1185. | ISSN:1476-0584",0,0,1,1,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=1270-1278&atitle=Emotion regulation and internalizing symptoms in a longitudinal study of sexual minority and heterosexual adolescents&jtitle=Journal of Child Psychology & Psychiatry=&title=Journal of Child Psychology & Psychiatry=&issn=0021-9630&volume=49&issue=12&date=2008&aulast=Hatzenbuehler&aufirst=Mark&au=Hatzenbuehler,Mark L.&genre=article","Article | Emotion regulation and internalizing symptoms in a longitudinal study of sexual minority and heterosexual adolescents | Hatzenbuehler,Mark L 2008 | Published in Journal Journal of Child Psychology Volume 49 Issue 12 Page 1270 1278. | ISSN:0021-9630",0,0,3,3,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=129-139&atitle=The Expression of Femininity in the Male&jtitle=The Journal of Sex Research&title=The Journal of Sex Research&issn=0022-4499&volume=3&issue=2&date=1967&aulast=Bruce&aufirst=Virginia&au=Bruce, Virginia&genre=article",Article | The Expression of Femininity in the Male | Bruce Virginia 1967 | Published in Journal The Journal of Sex Research Volume 3 Issue 2 Page 129 139. | ISSN:0022-4499,0,0,2,2,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=13-21&atitle=The link between interoceptive processing and anxiety in children diagnosed with autism spectrum disorder: Extending adult findings into a developmental sample&jtitle=Biological psychology&title=Biological psychology&issn=0301-0511&volume=136&date=2018&aulast=Palser&aufirst=E.&au=Palser,E.R.&genre=article","Article | The link between interoceptive processing and anxiety in children diagnosed with autism spectrum disorder Extending adult findings into a developmental sample | Palser,E.R 2018 | Published in Journal Biological psychology Volume 136 Page 13 21. | ISSN:0301-0511",0,0,1,1,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=140-145&atitle=Combating Tsunami Disaster Through EMDR&jtitle=Journal of EMDR Practice & Research=&title=Journal of EMDR Practice & Research=&issn=1933-3196&volume=2&issue=2&date=2008&aulast=Jayatunge&aufirst=Ruwan&au=Jayatunge,Ruwan M.&genre=article","Article | Combating Tsunami Disaster Through EMDR | Jayatunge,Ruwan M 2008 | Published in Journal Journal of EMDR Practice Volume 2 Issue 2 Page 140 145. | ISSN:1933-3196",0,0,1,1,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=147-150&atitle=Kompletna Remisija Simptoma Akutnog Neratnog Ptsp-a Nakon Jedne Seanse Emdr&jtitle=Acta Medica Saliniana&title=Acta Medica Saliniana&issn=0350-364X&volume=37&issue=2&date=2008&aulast=Softi\u0107&aufirst=Rusmir&au=Softi\u0107, Rusmir&genre=article",Article | Kompletna Remisija Simptoma Akutnog Neratnog Ptsp-a Nakon Jedne Seanse Emdr | Softi\u0107 Rusmir 2008 | Published in Journal Acta Medica Saliniana Volume 37 Issue 2 Page 147 150. | ISSN:0350-364X,0,0,0,0,n/a,n/a,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=1627-1640&atitle=Growing up with parental alcohol abuse: exposure to childhood abuse, neglect, and household dysfunction&jtitle=Child Abuse & Neglect=&title=Child Abuse & Neglect=&issn=0145-2134&volume=25&issue=12&date=2001-12-01&aulast=Dube&aufirst=Shanta&au=Dube, Shanta R&genre=article",Article | Growing up with parental alcohol abuse exposure to childhood abuse neglect and household dysfunction | Dube Shanta R 2001 Dec 01 | Published in Journal Child Abuse Volume 25 Issue 12 Page 1627 1640. | ISSN:0145-2134,0,0,1,1,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=168-177&atitle=The effects of the First Step to Success program on academic engagement behaviors of Turkish students with attention-deficit/hyperactivity disorder&jtitle=Journal of Positive Behavior Interventions&title=Journal of Positive Behavior Interventions&issn=1538-4772(ELECTRONIC),10983007(PRINT)&volume=13&issue=3&date=2011&aulast=Ozdemir&aufirst=Selda&au=Ozdemir,Selda&genre=article","Article | The effects of the First Step to Success program on academic engagement behaviors of Turkish students with attention-deficit/hyperactivity disorder | Ozdemir,Selda 2011 | Published in Journal Journal of Positive Behavior Interventions Volume 13 Issue 3 Page 168 177. | ISSN:1098-3007",0,0,1,1,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=169-187&atitle=Self-enhancement tendencies among people with high explicit self-esteem: The moderating role of implicit self-esteem&jtitle=Self and Identity&title=Self and Identity&issn=1529-8876(ELECTRONIC),15298868(PRINT)&volume=2&issue=3&date=2003&aulast=Bosson&aufirst=Jennifer&au=Bosson,Jennifer K.&genre=article","Article | Self-enhancement tendencies among people with high explicit self-esteem The moderating role of implicit self-esteem | Bosson,Jennifer K 2003 | Published in Journal Self and Identity Volume 2 Issue 3 Page 169 187. | ISSN:1529-8868",0,0,2,2,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=203-216&atitle=Effectiveness of systemic family therapy versus treatment as usual for young people after self-harm: A pragmatic, phase 3, multicentre, randomised controlled trial&jtitle=The Lancet Psychiatry&title=The Lancet Psychiatry&volume=5&issue=3&date=2018&aulast=Cottrell&aufirst=David&au=Cottrell, David J&genre=article",Article | Effectiveness of systemic family therapy versus treatment as usual for young people after self-harm A pragmatic phase 3 multicentre randomised controlled trial | Cottrell David J 2018 | Published in Journal The Lancet Psychiatry Volume 5 Issue 3 Page 203 216. | ISSN:2215-0374,0,0,1,1,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=206-220&atitle=Religion, nonreligion, and deviance: Comparing faith\u2019s and family\u2019s relative strength in promoting social conformity&jtitle=Journal of Religion and Health&title=Journal of Religion and Health&issn=1573-6571(ELECTRONIC),00224197(PRINT)&volume=58&issue=1&date=2019&aulast=DeCamp&aufirst=Whitney&au=DeCamp,Whitney&genre=article","Article | Religion nonreligion and deviance Comparing faith\u2019s and family\u2019s relative strength in promoting social conformity | DeCamp,Whitney 2019 | Published in Journal Journal of Religion and Health Volume 58 Issue 1 Page 206 220. | ISSN:0022-4197",0,0,3,3,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=213-231&atitle=Between horror and boredom: Fairy tales and moral education&jtitle=Ethics and Education&title=Ethics and Education&issn=1744-9650(ELECTRONIC),17449642(PRINT)&volume=15&issue=2&date=2020&aulast=Lewin&aufirst=David&au=Lewin,David&genre=article","Article | Between horror and boredom Fairy tales and moral education | Lewin,David 2020 | Published in Journal Ethics and Education Volume 15 Issue 2 Page 213 231. | ISSN:1744-9642",0,0,2,2,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=230-242&atitle=Shame and the problem of suicide: A family systems perspective.&jtitle=British Journal of Psychotherapy&title=British Journal of Psychotherapy&volume=7&issue=3&date=1991&aulast=Lansky&aufirst=Melvin&au=Lansky,Melvin&genre=article","Article | Shame and the problem of suicide A family systems perspective. | Lansky,Melvin 1991 | Published in Journal British Journal of Psychotherapy Volume 7 Issue 3 Page 230 242. | ISSN:0265-9883",0,0,2,2,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=278-287&atitle=Intercultural communication and US higher education: How US students and faculty can improve: International students\u2019 classroom experiences&jtitle=International Journal of Intercultural Relations&title=International Journal of Intercultural Relations&issn=0147-1767&volume=82&date=2021&aulast=King&aufirst=Carie&au=King,Carie S.Tucker&genre=article","Article | Intercultural communication and US higher education How US students and faculty can improve International students\u2019 classroom experiences | King,Carie S.Tucker 2021 | Published in Journal International Journal of Intercultural Relations Volume 82 Page 278 287. | ISSN:0147-1767",0,0,1,1,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=28-34&atitle=EMDR Group Therapy With Women Who Were Sexually Assaulted in the Congo&jtitle=Journal of EMDR Practice & Research=&title=Journal of EMDR Practice & Research=&issn=1933-3196&volume=9&issue=1&date=2015&aulast=Alton&aufirst=Michel&au=Alton,Michel&genre=article","Article | EMDR Group Therapy With Women Who Were Sexually Assaulted in the Congo | Alton,Michel 2015 | Published in Journal Journal of EMDR Practice Volume 9 Issue 1 Page 28 34. | ISSN:1933-3196",0,0,1,1,0,100,1,0,0,0
getit.library.nyu.edu/resolve??charset=utf-8&pages=302-323&atitle=A Survey of Music Therapy Methods and Their Role in the Treatment of Early Elementary School Children with ADHD&jtitle=Journal of Music Therapy&title=Journal of Music Therapy&volume=40&issue=4&date=2003-12-01&au=Nancy A. Jackson&genre=article,Article | A Survey of Music Therapy Methods and Their Role in the Treatment of Early Elementary School Children with ADHD | Nancy A Jackson 2003 Dec 01 | Published in Journal Journal of Music Therapy Volume 40 Issue 4 Page 302 323. | ISSN:0022-2917,0,0,6,6,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=35-48&atitle=U\u010cINKOVITOST METODA U DETRAUMATIZACIJI MIGRANATA S PODRU\u010cJA BOSNE I HERCEGOVINE. (Croatian)&jtitle=Oeconomicus&title=Oeconomicus&issn=1849-9686&issue=13&date=2020&aulast=Peterschik&aufirst=Azra&au=Peterschik,Azra&genre=article","Article | U\u010cINKOVITOST METODA U DETRAUMATIZACIJI MIGRANATA S PODRU\u010cJA BOSNE I HERCEGOVINE Croatian) | Peterschik,Azra 2020 | Published in Journal Oeconomicus Issue 13 Page 35 48. | ISSN:1849-9686",0,0,0,0,n/a,n/a,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=366-375&atitle=Maternal influence on adolescent self-esteem, ethnic pride and intentions to engage in risk behavior in Latino youth&jtitle=Prevention science : the official journal of the Society for Prevention Research&title=Prevention science : the official journal of the Society for Prevention Research&issn=1573-6695&volume=10&issue=4&date=2009-12-01&aulast=Guilamo-Ramos&aufirst=V&au=Guilamo-Ramos, V&genre=article",Article | Maternal influence on adolescent self-esteem ethnic pride and intentions to engage in risk behavior in Latino youth | Guilamo-Ramos V 2009 Dec 01 | Published in Journal Prevention science the official journal of the Society for Prevention Research Volume 10 Issue 4 Page 366 375. | ISSN:1389-4986,0,0,3,3,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=385-392&atitle=Association between workarounds and medication administration errors in bar-code-assisted medication administration in hospitals&jtitle=Journal of the American Medical Informatics Association&title=Journal of the American Medical Informatics Association&issn=1067-5027&volume=25&issue=4&date=2018&aulast=van der Veen&aufirst=Willem&au=van der Veen, Willem&genre=article",Article | Association between workarounds and medication administration errors in bar-code-assisted medication administration in hospitals | van der Veen Willem 2018 | Published in Journal Journal of the American Medical Informatics Association Volume 25 Issue 4 Page 385 392. | ISSN:1067-5027,0,0,2,2,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=43-53&atitle=Examining the relationship between LGBTQ-supportive school health policies and practices and psychosocial health outcomes of lesbian, gay, bisexual, and heterosexual students&jtitle=LGBT Health&title=LGBT Health&issn=2325-8306(ELECTRONIC),23258292(PRINT)&volume=9&issue=1&date=2022&aulast=Kaczkowski&aufirst=Wojciech&au=Kaczkowski,Wojciech&genre=article","Article | Examining the relationship between LGBTQ-supportive school health policies and practices and psychosocial health outcomes of lesbian gay bisexual and heterosexual students | Kaczkowski,Wojciech 2022 | Published in Journal LGBT Health Volume 9 Issue 1 Page 43 53. | ISSN:2325-8292",0,0,1,1,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=49-53&atitle=Distinctly regulated functions and mobilization of CD11c-positive cells elicited by TLR3- and IPS-1 signaling in the cornea&jtitle=Immunology letters&title=Immunology letters&issn=0165-2478&volume=206&date=2019&aulast=Ueta&aufirst=Mayumi&au=Ueta,Mayumi&genre=article","Article | Distinctly regulated functions and mobilization of CD11c-positive cells elicited by TLR3 and IPS-1 signaling in the cornea | Ueta,Mayumi 2019 | Published in Journal Immunology letters Volume 206 Page 49 53. | ISSN:0165-2478",0,0,1,1,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=537-548&atitle=End-of-life care for gay, lesbian, bisexual and transgender people&jtitle=Culture, Health & Sexuality=&title=Culture, Health & Sexuality=&issn=1369-1058&volume=14&issue=5&date=2012&aulast=Cartwright&aufirst=Colleen&au=Cartwright,Colleen&genre=article","Article | End-of-life care for gay lesbian bisexual and transgender people | Cartwright,Colleen 2012 | Published in Journal Culture Health Volume 14 Issue 5 Page 537 548. | ISSN:1369-1058",0,0,3,3,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=585-594&atitle=Who cares about organizational purpose and corporate social responsibility, and how can organizations adapt? A hypermodern perspective&jtitle=Business horizons&title=Business horizons&issn=0007-6813&volume=63&issue=4&date=2020&aulast=Dhanesh&aufirst=Ganga&au=Dhanesh,Ganga S.&genre=article","Article | Who cares about organizational purpose and corporate social responsibility and how can organizations adapt A hypermodern perspective | Dhanesh,Ganga S 2020 | Published in Journal Business horizons Volume 63 Issue 4 Page 585 594. | ISSN:0007-6813",0,0,1,1,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=615-625&atitle=Reducing Children's Susceptibility to Alcohol Use: Effects of a Home-Based Parenting Program&jtitle=Prevention science : the official journal of the Society for Prevention Research&title=Prevention science : the official journal of the Society for Prevention Research&issn=1573-6695&volume=17&issue=5&date=2016&aulast=Jackson&aufirst=Christine&au=Jackson,Christine&genre=article","Article | Reducing Children's Susceptibility to Alcohol Use Effects of a Home-Based Parenting Program | Jackson,Christine 2016 | Published in Journal Prevention science the official journal of the Society for Prevention Research Volume 17 Issue 5 Page 615 625. | ISSN:1389-4986",0,0,3,3,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=63-88&atitle=Trauma Stabilisation as a Sole Treatment Intervention for Post-Traumatic Stress Disorder in Southeast Asia&jtitle=Psychiatric Quarterly&title=Psychiatric Quarterly&issn=0033-2720&volume=90&issue=1&date=2019&aulast=Eichfeld&aufirst=Cordula&au=Eichfeld,Cordula&genre=article","Article | Trauma Stabilisation as a Sole Treatment Intervention for Post-Traumatic Stress Disorder in Southeast Asia | Eichfeld,Cordula 2019 | Published in Journal Psychiatric Quarterly Volume 90 Issue 1 Page 63 88. | ISSN:0033-2720",0,0,3,3,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=635-640&atitle=Mediterranean Way of Drinking and Longevity&jtitle=Critical reviews in food science and nutrition&title=Critical reviews in food science and nutrition&volume=56&issue=4&date=2016&aulast=Giacosa&aufirst=Attilio&au=Giacosa,Attilio&genre=article","Article | Mediterranean Way of Drinking and Longevity | Giacosa,Attilio 2016 | Published in Journal Critical reviews in food science and nutrition Volume 56 Issue 4 Page 635 640. | ISSN:1040-8398",0,0,1,1,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=74-82&atitle=The paradox of cognitive flexibility in autism&jtitle=Trends in Cognitive Sciences&title=Trends in Cognitive Sciences&issn=1364-6613&volume=13&issue=2&date=2009-02-01&aulast=Geurts&aufirst=Hilde&au=Geurts, Hilde M.&genre=article",Article | The paradox of cognitive flexibility in autism | Geurts Hilde M 2009 Feb 01 | Published in Journal Trends in Cognitive Sciences Volume 13 Issue 2 Page 74 82. | ISSN:1364-6613,0,0,1,1,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=805-812&atitle=TLR3: Interferon induction by double-stranded RNA including poly(I:C)&jtitle=Advanced Drug Delivery Reviews&title=Advanced Drug Delivery Reviews&issn=0169-409X&volume=60&issue=7&date=2008-04-29&aulast=Matsumoto&aufirst=Misako&au=Matsumoto, Misako&genre=article",Article | TLR3 Interferon induction by double-stranded RNA including poly(I:C) | Matsumoto Misako 2008 Apr 29 | Published in Journal Advanced Drug Delivery Reviews Volume 60 Issue 7 Page 805 812. | ISSN:0169-409X,0,0,1,1,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=84-91&atitle=The impact of policies and business models on income equity in rooftop solar adoption&jtitle=Nature Energy&title=Nature Energy&volume=6&issue=1&date=2021&aulast=O\u2019Shaughnessy&aufirst=Eric&au=O\u2019Shaughnessy, Eric&genre=article",Article | The impact of policies and business models on income equity in rooftop solar adoption | O\u2019Shaughnessy Eric 2021 | Published in Journal Nature Energy Volume 6 Issue 1 Page 84 91. | ISSN:2058-7546,0,0,3,3,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=85-105&atitle=Engaging Through Purpose: The Mediating Role of Person-Organizational Purpose Fit in the Relationship Between Perceived Organizational Purpose and Work Engagement&jtitle=Management Revue&title=Management Revue&issn=0935-9915&volume=32&issue=2&date=2021&aulast=van Ingen&aufirst=Ramon&au=van Ingen, Ramon&genre=article",Article | Engaging Through Purpose The Mediating Role of Person-Organizational Purpose Fit in the Relationship Between Perceived Organizational Purpose and Work Engagement | van Ingen Ramon 2021 | Published in Journal Management Revue Volume 32 Issue 2 Page 85 105. | ISSN:0935-9915,0,0,2,2,0,100,1,0,0,0
getit.library.nyu.edu/resolve??charset=utf-8&spage=107955&atitle=The role of pubertal timing in the link between family history of alcohol use disorder and late adolescent substance use&jtitle=Drug and Alcohol Dependence&title=Drug and Alcohol Dependence&issn=0376-8716&volume=210&date=2020&genre=article,Article | The role of pubertal timing in the link between family history of alcohol use disorder and late adolescent substance use | 2020 | Published in Journal Drug and Alcohol Dependence Volume 210 Page 107955. | ISSN:0376-8716,0,0,1,1,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&spage=144850&atitle=The effect of different types of exercise training on diet-induced obesity in rats, cross-talk between cell cycle proteins and apoptosis in testis&jtitle=Gene&title=Gene&issn=0378-1119&volume=754&date=2020&aulast=Tolouei Azar&aufirst=Javad&au=Tolouei Azar,Javad&genre=article","Article | The effect of different types of exercise training on diet-induced obesity in rats cross-talk between cell cycle proteins and apoptosis in testis | Tolouei Azar,Javad 2020 | Published in Journal Gene Volume 754 Page 144850. | ISSN:0378-1119",0,0,1,1,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&spage=199&title=Astrophysics simulations: the Consortium for Upper Level Physics Software&date=1995-01-01&aulast=Danby&aufirst=J&au=Danby, J M A","Journal | Astrophysics simulations the Consortium for Upper Level Physics Software | Danby J M A 1995 Jan 01 | Published in Journal Page 199. | ",0,0,0,0,n/a,n/a,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&spage=3759&atitle=An integration of American nontraditional and Mesoamerican traditional approaches as a treatment model for traumatic stress and Post-Traumatic Stress Disorder (PTSD)&volume=72&issue=6-B&date=2011&aulast=Mohr-Almeida&aufirst=Kathy&au=Mohr-Almeida,Kathy","Article | An integration of American nontraditional and Mesoamerican traditional approaches as a treatment model for traumatic stress and Post-Traumatic Stress Disorder PTSD) | Mohr-Almeida,Kathy 2011 | Published in Journal Volume 72 Issue 6-B Page 3759. | ",0,0,0,0,n/a,n/a,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&spage=41&atitle=Wine and health: Red wine in a balanced, healthy diet&jtitle=British Food Journal&title=British Food Journal&issn=0007-070X&volume=97&issue=9&date=1995&aulast=Boucheron&aufirst=Philippe&au=Boucheron,Philippe&genre=article","Article | Wine and health Red wine in a balanced healthy diet | Boucheron,Philippe 1995 | Published in Journal British Food Journal Volume 97 Issue 9 Page 41. | ISSN:0007-070X",0,0,3,3,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&spage=572&atitle=Category-specificity in spatial and temporal attention&issn=0419-4217(PRINT)&volume=67&issue=1-&date=2006&aulast=New&aufirst=Joshua&au=New,Joshua","Article | Category-specificity in spatial and temporal attention | New,Joshua 2006 | Published in Journal Volume 67 Issue 1 Page 572. | ISSN:0419-4217(PRINT)",0,0,0,0,n/a,n/a,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&title=Addressing Racial Disproportionality and Disparities in Human Services : Multisystemic Approaches&isbn=9780231537070&date=2014&aulast=Dettlaff&aufirst=Alan&au=Dettlaff,Alan","Book | Addressing racial disproportionality and disparities in human services multisystemic approaches | Dettlaff,Alan 2014 |  | Publisher:Columbia University Press ISBN:9780231537070",0,0,3,3,0,100,1,0,0,0
